EmployeeID,First_Name,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,Age,Office,Start_Date,Termination_Date,Voluntary/ Involuntary,Office_Type,Department,Currency,Bonus_pct,Job_title,DOB,level,Salary,Active Status
100031,Henry,Williams,1260 Lang Avenue,Richfield,UT,Utah,84701,US,United States,46,NYC,21/12/2009,,,Corporate,Sales,USD,0.2,Regional Sales Manager,27372,Manager,77000,1
100032,Juliana,Green,350 Andell Road,Columbus,OH,Ohio,43215,US,United States,40,NYC,21/12/2009,31/05/2013,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,29624,Individual Contributor,51000,0
100033,Fannie,Smith,1829 Burnside Court,Phoenix,AZ,Arizona,85003,US,United States,45,NYC,21/12/2009,27/02/2022,Involuntary,Corporate,Corporate,USD,0.15,HR Coordinator,27775,Individual Contributor,67000,1
100034,Jeffery,Britton,1473 University Street,Seattle,WA,Washington,98121,US,United States,39,NYC,28/12/2009,17/03/2014,Voluntary,Corporate,Sales,USD,0.15,Account Executive,29994,Individual Contributor,79000,0
100035,Sharon,Taylor,4017 Mount Street,Blanchard,MI,Michigan,49310,US,United States,39,NYC,28/12/2009,25/12/2012,Involuntary,Corporate,Corporate,USD,0.15,Coordinator,29908,Individual Contributor,65000,0
100036,Joellen,Deleon,4719 Edgewood Avenue,Fresno,CA,California,93704,US,United States,35,NYC,04/01/2010,28/10/2021,Involuntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,31582,Senior,59000,1
100037,Sara,Richards,1227 Columbia Mine Road,Cheat Lake,WV,West Virginia,26505,US,United States,54,NYC,04/01/2010,02/03/2010,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,24647,Individual Contributor,60000,0
100038,Margaret,Sargent,1570 Beechwood Avenue,Red Bank,NJ,New Jersey,7701,US,United States,38,NYC,04/01/2010,,,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",30267,Associate,52000,1
100039,Cassandra,James,733 Kimberly Way,Rockford,MI,Michigan,49341,US,United States,53,NYC,04/01/2010,,,Corporate,Corporate,USD,0.15,Counsel,24692,Individual Contributor,69000,1
100040,Marie,Montgomery,211 Arrowood Drive,St Augustine,FL,Florida,32092,US,United States,53,NYC,11/01/2010,,,Corporate,Marketing,USD,0.15,Programmatic Marketing Specialist,25024,Individual Contributor,84000,1
100041,Terri,Boone,1553 Wildwood Street,Salem,OH,Ohio,44460,US,United States,50,NYC,11/01/2010,,,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",25876,Associate,50000,1
100042,Michael,Green,4617 Worley Avenue,Piney River,VA,Virginia,22964,US,United States,44,NYC,11/01/2010,15/09/2010,Voluntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,28078,Senior,52000,0
100043,Ray,Alvey,1586 Shadowmar Drive,New Orleans,LA,Louisiana,70122,US,United States,30,NYC,25/01/2010,08/08/2011,Voluntary,Corporate,Marketing,USD,0.15,Copy Writer,33143,Individual Contributor,75000,0
100044,Gerald,Hansen,408 Traders Alley,Kansas City,MO,Missouri,64106,US,United States,31,NYC,25/01/2010,10/01/2012,Involuntary,Corporate,Technology,USD,0.15,IT,32900,Individual Contributor,51000,0
100045,Lloyd,Bedwell,1052 Dovetail Drive,Burr Ridge,IL,Illinois,60527,US,United States,39,NYC,25/01/2010,16/11/2018,Voluntary,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",29860,Associate,59000,0
100046,Gloria,Walser,960 Burnside Avenue,Mexican Hat,UT,Utah,84531,US,United States,38,NYC,25/01/2010,18/01/2020,Involuntary,Corporate,Customer Service,USD,0.15,CS Operations Specialist,30463,Individual Contributor,56000,0
100047,Mayra,Gutierrez,1066 Beech Street,Antioch,CA,California,94509,US,United States,36,NYC,25/01/2010,29/07/2010,Involuntary,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",30942,Associate,54000,0
100048,Nicholas,Sauer,3966 Nancy Street,Raleigh,NC,North Carolina,27609,US,United States,24,NYC,25/01/2010,,,Corporate,Sales,USD,0.15,Account Executive,35443,Individual Contributor,71000,1
100049,Maria,Johnson,2728 Trails End Road,Fort Lauderdale,FL,Florida,33306,US,United States,46,Boulder,25/01/2010,21/10/2010,Voluntary,Technology,Technology,USD,0.15,Software Engineer,27344,Individual Contributor,93000,0
100050,Antonio,Warford,841 Maple Avenue,Boise,ID,Idaho,83702,US,United States,45,Boulder,01/02/2010,14/05/2014,Voluntary,Technology,Technology,USD,0.15,Software Engineer,27884,Individual Contributor,93000,0
100051,Bradley,Carter,2781 Wilson Street,Crowley Lake,CA,California,93514,US,United States,27,NYC,08/02/2010,16/06/2021,Voluntary,Corporate,Marketing,USD,0.15,Programmatic Marketing Specialist,34422,Individual Contributor,83000,0
100052,Robin,Lee,3921 White Lane,Macon,GA,Georgia,31204,US,United States,35,NYC,08/02/2010,22/08/2013,Involuntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,31550,Senior,57000,0
100053,James,Baker,3635 Sunny Day Drive,Fullerton,CA,California,92632,US,United States,53,NYC,15/02/2010,,,Corporate,Corporate,USD,0.15,Finance Coordinator,24856,Individual Contributor,64000,1
100054,Jeremy,Somerville,1574 Garfield Road,Macomb,IL,Illinois,61455,US,United States,37,Boulder,15/02/2010,24/04/2014,Voluntary,Technology,Technology,USD,0.2,"Director, Engineering",30575,Director,100000,0
100055,Sander,Klokk,Snekkerfaret 216,MOSS,,,1537,NO,Norway,39,Oslo,22/02/2010,19/08/2019,Involuntary,Technology,Technology,NOK,0.15,Software Engineer,29996,Individual Contributor,537000,0
100056,Rochelle,Ahlstrom,2864 Brown Street,Walnut Creek,CA,California,94596,US,United States,34,Boulder,08/03/2010,15/07/2011,Voluntary,Technology,Technology,USD,0.15,Software Engineer,31859,Individual Contributor,100000,0
100057,William,Buckley,3517 Radio Park Drive,Atlanta,GA,Georgia,30303,US,United States,28,NYC,15/03/2010,12/04/2012,Involuntary,Corporate,Sales,USD,0.15,Account Executive,34088,Individual Contributor,72000,0
100058,Lynn,Brown,4922 Robinson Court,Saginaw,MI,Michigan,48601,US,United States,41,NYC,15/03/2010,26/12/2019,Voluntary,Corporate,Sales,USD,0.2,Regional Sales Manager,29084,Manager,70000,0
100059,Jean,Moran,3698 Lochmere Lane,Old Saybrook,CT,Connecticut,6475,US,United States,44,NYC,15/03/2010,17/07/2014,Involuntary,Corporate,Corporate,USD,0.15,HR Coordinator,28183,Individual Contributor,65000,0
100060,Jose,Garcia,2690 Waldeck Street,Weatherford,TX,Texas,76086,US,United States,43,Boulder,15/03/2010,07/10/2013,Voluntary,Technology,Technology,USD,0.15,Senior Software Engineer,28679,Senior,96000,0
100061,Carol,Romero,4169 Rhapsody Street,Ocala,FL,Florida,34471,US,United States,45,Boulder,15/03/2010,09/05/2014,Voluntary,Technology,Technology,USD,0.15,Software Engineer,27901,Individual Contributor,94000,0
100062,Logan,Ryan,932 Maxwell Farm Road,Chico,CA,California,95928,US,United States,29,Boulder,15/03/2010,20/12/2013,Involuntary,Technology,Technology,USD,0.15,Software Engineer,33642,Individual Contributor,91000,0
100063,Marius,Andersen,Bnntjernveien 186,HNEFOSS,,,3514,NO,Norway,28,Oslo,15/03/2010,16/08/2022,Voluntary,Technology,Technology,NOK,0.15,Senior Software Engineer,34029,Senior,534000,1
100064,Randy,Parker,1570 Cimmaron Road,Buena Park,CA,California,90621,US,United States,46,NYC,22/03/2010,28/10/2011,Involuntary,Corporate,Customer Service,USD,0.2,"Manager, Customer Service",27437,Manager,50000,0
100065,Robert,Vaughan,967 Wines Lane,Houston,TX,Texas,77002,US,United States,52,Boulder,22/03/2010,19/03/2014,Involuntary,Technology,Technology,USD,0.15,Software Engineer,25100,Individual Contributor,94000,0
100066,Luis,Elwell,4395 Granville Lane,Newark,NJ,New Jersey,7102,US,United States,38,NYC,05/04/2010,25/10/2013,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,30436,Individual Contributor,51000,0
100067,Timothy,Fisher,3277 Carolyns Circle,Plano,TX,Texas,75074,US,United States,39,NYC,05/04/2010,16/05/2012,Involuntary,Corporate,Customer Service,USD,0.15,Account Manager,29858,Individual Contributor,60000,0
100068,Charles,Abbott,1443 Martha Street,Prescott,AZ,Arizona,86314,US,United States,34,NYC,05/04/2010,25/03/2011,Involuntary,Corporate,Sales,USD,0.1,"Associate, Sales",31887,Associate,77000,0
100069,Michael,Lima,2484 Lincoln Street,Camden,NJ,New Jersey,8102,US,United States,28,NYC,05/04/2010,15/06/2011,Involuntary,Corporate,Corporate,USD,0.15,Accountant,33898,Individual Contributor,64000,0
100070,Jessie,Vaughn,4415 Aspen Court,West Roxbury,MA,Massachusetts,2132,US,United States,32,NYC,12/04/2010,27/12/2010,Voluntary,Corporate,Sales,USD,0.2,Regional Sales Manager,32493,Manager,72000,0
100071,Angela,Mullis,3588 Concord Street,Charlotte,NC,North Carolina,28209,US,United States,50,NYC,12/04/2010,14/09/2010,Voluntary,Corporate,Corporate,USD,0.15,"Specialist, Training and Development",25780,Individual Contributor,66000,0
100072,Thomas,Klein,488 Memory Lane,Rockford,IL,Illinois,61101,US,United States,32,NYC,12/04/2010,25/10/2012,Voluntary,Corporate,Sales,USD,0.15,Account Executive,32596,Individual Contributor,75000,0
100073,Jim,Cowles,4400 Daffodil Lane,Washington,VA,Virginia,20011,US,United States,52,Boulder,19/04/2010,03/02/2012,Involuntary,Technology,Technology,USD,0.15,Senior Software Engineer,25273,Senior,98000,0
100074,William,Flood,2251 Michigan Avenue,Gibsonia,PA,Pennsylvania,15044,US,United States,34,NYC,26/04/2010,,,Corporate,Sales,USD,0.15,Account Executive,31637,Individual Contributor,75000,1
100075,Michael,Mattie,2393 Davis Court,Collinsville,IL,Illinois,62234,US,United States,32,NYC,26/04/2010,21/08/2019,Involuntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,32683,Senior,52000,0
100076,Deanna,James,3434 Elmwood Avenue,Tempe,AZ,Arizona,85283,US,United States,30,Boulder,26/04/2010,12/05/2014,Involuntary,Technology,Technology,USD,0.15,Software Engineer,33091,Individual Contributor,95000,0
100077,Nadia,Anderson,2200 Roosevelt Road,Sharon,KS,Kansas,67138,US,United States,26,NYC,03/05/2010,18/05/2012,Involuntary,Corporate,Sales,USD,0.1,"Associate, Sales",34727,Associate,79000,0
100078,Joseph,Isley,4323 Bartlett Avenue,Southfield,MI,Michigan,48075,US,United States,36,Boulder,03/05/2010,28/11/2013,Involuntary,Technology,Technology,USD,0.15,Senior Software Engineer,31018,Senior,100000,0
100079,Patricia,Nightingale,1358 Thorn Street,Cheyenne,WY,Wyoming,82001,US,United States,40,Boulder,10/05/2010,,,Technology,Technology,USD,0.15,Software Engineer,29538,Individual Contributor,91000,1
100080,James,Minton,3901 Airplane Avenue,Baltic,CT,Connecticut,6330,US,United States,28,NYC,17/05/2010,,,Corporate,Customer Service,USD,0.15,Account Manager,34084,Individual Contributor,58000,1
100081,Anthony,Mahan,845 Stratford Park,Terre Haute,IN,Indiana,47805,US,United States,33,NYC,17/05/2010,23/12/2011,Voluntary,Corporate,Sales,USD,0.1,"Associate, Sales",32216,Associate,77000,0
100082,Danielle,Bowler,1399 Goosetown Drive,Saluda,NC,North Carolina,28773,US,United States,40,NYC,24/05/2010,04/01/2023,Involuntary,Corporate,Customer Service,USD,0.15,Account Manager,29683,Individual Contributor,59000,1
100083,Marvel,Wolverton,1921 Rainbow Road,City Of Commerce,CA,California,90040,US,United States,50,NYC,24/05/2010,02/09/2010,Involuntary,Corporate,Sales,USD,0.15,Account Executive,26051,Individual Contributor,73000,0
100084,John,Bertrand,290 Brooke Street,Houston,TX,Texas,77035,US,United States,35,Boulder,24/05/2010,14/01/2011,Voluntary,Technology,Technology,USD,0.15,Software Engineer,31498,Individual Contributor,98000,0
100085,Robert,Harper,709 Twin House Lane,Eldridge,MO,Missouri,65463,US,United States,25,Boulder,24/05/2010,03/03/2015,Voluntary,Technology,Technology,USD,0.15,Senior Software Engineer,34939,Senior,91000,0
100086,James,Gregory,3932 Laurel Lee,Blaine,MN,Minnesota,55414,US,United States,43,Boulder,24/05/2010,10/12/2019,Involuntary,Technology,Technology,USD,0.2,"Director, Engineering",28679,Director,93000,0
100087,Melissa,Rodriguez,4442 Bird Street,Albuquerque,NM,New Mexico,87106,US,United States,53,SanJose,24/05/2010,12/10/2011,Involuntary,Corporate,Sales,USD,0.1,"Associate, Sales",24983,Associate,72000,0
100088,Peggy,Frazier,67 Seneca Drive,Beaver Creek,OR,Oregon,97004,US,United States,31,Boulder,31/05/2010,16/11/2021,Involuntary,Technology,Technology,USD,0.2,"Director, Engineering",32728,Director,100000,1
100089,Caron,Adams,1523 Sherwood Circle,Lafayette,LA,Louisiana,70501,US,United States,27,Boulder,31/05/2010,,,Technology,Technology,USD,0.15,Software Engineer,34284,Individual Contributor,94000,1
100090,Patricia,Mendoza,3664 Hannah Street,Ellenboro,NC,North Carolina,28040,US,United States,55,Boulder,31/05/2010,,,Technology,Marketing,USD,0.15,Programmatic Marketing Specialist,24127,Individual Contributor,76000,1
100091,Maria,Singleton,2926 Kessla Way,Clinton,SC,South Carolina,28328,US,United States,38,Boulder,31/05/2010,10/02/2012,Voluntary,Technology,Technology,USD,0.15,Senior Software Engineer,30337,Senior,91000,0
100092,William,Ham,1085 Rainbow Road,Phoenix,AZ,Arizona,85034,US,United States,55,Boulder,31/05/2010,03/11/2014,Voluntary,Technology,Technology,USD,0.15,Senior Software Engineer,24086,Senior,93000,0
100093,Byron,Rauch,4759 Adamsville Road,Laredo,TX,Texas,78040,US,United States,54,NYC,07/06/2010,13/05/2011,Voluntary,Corporate,Customer Service,USD,0.15,Associate Account Manager,24662,Associate,54000,0
100094,Lynda,Brooks,372 Clifford Street,Hayward,CA,California,94545,US,United States,50,NYC,07/06/2010,20/07/2012,Voluntary,Corporate,Sales,USD,0.15,Sales Team Lead,25827,Senior,77000,0
100095,Bobbie,Huskins,4543 Charles Street,Whitmore Lake,MI,Michigan,48189,US,United States,57,Boulder,07/06/2010,,,Technology,Technology,USD,0.15,Software Engineer,23308,Individual Contributor,97000,1
100096,Barbara,Brooks,722 Reppert Coal Road,Detroit,MI,Michigan,48226,US,United States,44,Boulder,07/06/2010,11/01/2011,Involuntary,Technology,Technology,USD,0.3,"VP, Technology",28022,VP,91000,0
100097,Hilda,Johnson,858 Badger Pond Lane,Tampa,FL,Florida,33619,US,United States,35,NYC,14/06/2010,20/10/2014,Voluntary,Corporate,Sales,USD,0.2,Sales Manager,31401,Manager,77000,0
100098,Brad,Anderson,3427 Mount Street,Mount Pleasant,MI,Michigan,48858,US,United States,52,Boulder,21/06/2010,28/07/2020,Involuntary,Technology,Technology,USD,0.15,Software Engineer,25204,Individual Contributor,91000,0
100099,John,Santiago,4867 Ingram Road,Asheboro,NC,North Carolina,27203,US,United States,61,Boulder,21/06/2010,,,Technology,Technology,USD,0.15,Software Engineer,21779,Individual Contributor,92000,1
100100,Rita,Freeman,4872 Kelly Drive,Wheeling,WV,West Virginia,26003,US,United States,26,Boulder,21/06/2010,10/05/2011,Involuntary,Technology,Technology,USD,0.15,Software Engineer,34590,Individual Contributor,97000,0
100101,Jonathan,Diaz,1700 Elsie Drive,Sioux Falls,SD,South Dakota,57102,US,United States,55,NYC,28/06/2010,25/02/2013,Voluntary,Corporate,Marketing,USD,0.1,"Associate, Marketing",24211,Associate,83000,0
100102,Nicki,Watts,1855 Trainer Avenue,Peoria,IL,Illinois,61602,US,United States,52,NYC,28/06/2010,23/03/2015,Involuntary,Corporate,Sales,USD,0.15,Account Executive,25043,Individual Contributor,72000,0
100103,Antoinette,Haugland,3899 Geraldine Lane,New York,NY,New York,10121,US,United States,62,Boulder,28/06/2010,,,Technology,Technology,USD,0.15,Software Engineer,21564,Individual Contributor,96000,1
100104,Hugo,Miller,3347 Modoc Alley,Shoshone,ID,Idaho,83352,US,United States,57,Boulder,28/06/2010,02/09/2010,Voluntary,Technology,Technology,USD,0.15,Software Engineer,23338,Individual Contributor,94000,0
100105,Walter,Davis,3328 Preston Street,Phoenix,AZ,Arizona,85034,US,United States,26,Boulder,28/06/2010,21/11/2011,Voluntary,Technology,Technology,USD,0.2,"Director, Engineering",34698,Director,92000,0
100106,Anna,Grande,Bugrden 57,BERGEN,,,5003,NO,Norway,60,Oslo,28/06/2010,,,Technology,Technology,NOK,0.15,Software Engineer,22420,Individual Contributor,539000,1
100107,James,Johnson,2398 Jett Lane,Gardena,CA,California,90247,US,United States,26,NYC,05/07/2010,18/10/2012,Voluntary,Corporate,Sales,USD,0.2,Sales Manager,34528,Manager,74000,0
100108,Jeremy,Miller,4500 Harry Place,Gastonia,NC,North Carolina,28052,US,United States,45,NYC,05/07/2010,12/02/2022,Voluntary,Corporate,Customer Service,USD,0.15,Account Manager,27923,Individual Contributor,58000,1
100109,Emerald,Vega,2588 Southern Street,Bohemia,NY,New York,11716,US,United States,50,NYC,12/07/2010,,,Corporate,Sales,USD,0.2,Regional Sales Manager,25857,Manager,75000,1
100110,Betty,Phelps,2262 Neuport Lane,Cartersville,GA,Georgia,30120,US,United States,31,Boulder,12/07/2010,29/02/2020,Involuntary,Technology,Technology,USD,0.2,"Director, Engineering",32797,Director,93000,0
100111,Agnes,Metz,3796 Arrowood Drive,Jacksonville,FL,Florida,32202,US,United States,34,Boulder,12/07/2010,27/06/2014,Involuntary,Technology,Technology,USD,0.15,Software Engineer,31621,Individual Contributor,99000,0
100112,Ashley,Port,1964 Oak Street,Rome,NY,New York,13440,US,United States,27,NYC,19/07/2010,,,Corporate,Customer Service,USD,0.15,Account Manager,34312,Individual Contributor,54000,1
100113,Robert,Sisneros,4284 Peck Court,Santa Ana,CA,California,92705,US,United States,58,Boulder,19/07/2010,,,Technology,Technology,USD,0.15,Software Engineer,23053,Individual Contributor,97000,1
100114,Emilie,Meland,Gjerlwsveien 224,GRESSVIK,,,1621,NO,Norway,43,Oslo,19/07/2010,,,Technology,Technology,NOK,0.15,Software Engineer,28416,Individual Contributor,541000,1
100115,Heath,Roland,2708 Masonic Hill Road,Little Rock,AR,Arkansas,72201,US,United States,60,NYC,26/07/2010,30/12/2010,Voluntary,Corporate,Sales,USD,0.15,Account Executive,22447,Individual Contributor,78000,0
100116,Eleanor,Cook,4621 Gladwell Street,Longview,TX,Texas,75601,US,United States,51,NYC,26/07/2010,,,Corporate,Corporate,USD,0.15,Finance Coordinator,25445,Individual Contributor,62000,1
100117,Gwendolyn,Bateman,28 Turnpike Drive,Huntsville,AL,Alabama,35816,US,United States,66,NYC,26/07/2010,20/02/2020,Voluntary,Corporate,Marketing,USD,0.3,"VP, Marketing",20115,VP,83000,0
100118,Sally,Johnston,3024 Ben Street,East Lansing,MI,Michigan,48823,US,United States,45,NYC,26/07/2010,12/11/2013,Involuntary,Corporate,Sales,USD,0.1,"Associate, Sales",27851,Associate,70000,0
100119,Timothy,Alarcon,2118 Glen Street,Madisonville,KY,Kentucky,42431,US,United States,37,NYC,26/07/2010,22/05/2021,Involuntary,Corporate,Customer Service,USD,0.15,Senior Account Manager,30796,Senior,58000,0
100120,Barbara,Thomas,3826 Havanna Street,Winston Salem,NC,North Carolina,27101,US,United States,44,Boulder,26/07/2010,20/03/2013,Voluntary,Technology,Technology,USD,0.3,"VP, Technology",28120,VP,92000,0
100121,Robert,Copeland,4849 Mudlick Road,Yakima,WA,Washington,98902,US,United States,62,Boulder,26/07/2010,23/02/2020,Voluntary,Technology,Technology,USD,0.15,Software Engineer,21494,Individual Contributor,92000,0
100122,Hyman,Northrop,2802 Snider Street,Centennial,CO,Colorado,80111,US,United States,52,Boulder,26/07/2010,26/10/2011,Voluntary,Technology,Technology,USD,0.15,Software Engineer,25274,Individual Contributor,97000,0
100123,Elizabeth,Carr,4662 Mount Street,Saginaw,MI,Michigan,48601,US,United States,63,NYC,02/08/2010,18/07/2013,Voluntary,Corporate,Marketing,USD,0.15,Programmatic Marketing Specialist,21079,Individual Contributor,85000,0
100124,Naomi,Bedard,987 Crummit Lane,Omaha,NE,Nebraska,68134,US,United States,68,NYC,09/08/2010,19/01/2015,Involuntary,Corporate,Marketing,USD,0.15,Programmatic Marketing Specialist,19461,Individual Contributor,82000,0
100125,Carlos,Golden,418 Lake Forest Drive,Yorktown Heights,NY,New York,10598,US,United States,43,Boulder,09/08/2010,,,Technology,Marketing,USD,0.15,Graphic Designer,28370,Individual Contributor,79000,1
100126,Levi,Hernandez,4785 Par Drive,City Of Commerce,CA,California,90040,US,United States,32,Boulder,09/08/2010,08/07/2013,Involuntary,Technology,Technology,USD,0.15,Senior Software Engineer,32438,Senior,91000,0
100127,Amina,Amundsen,Krokveien 223,HAGAN,,,1481,NO,Norway,48,Oslo,09/08/2010,,,Technology,Technology,NOK,0.15,Senior Software Engineer,26791,Senior,533000,1
100128,Ruth,Chong,2391 McDonald Avenue,Orlando,FL,Florida,32803,US,United States,46,NYC,16/08/2010,,,Corporate,Customer Service,USD,0.15,Associate Account Manager,27526,Manager,59000,1
100129,Kathleen,Boren,1320 Bailey Drive,Washington,IA,Iowa,52353,US,United States,43,Boulder,16/08/2010,21/08/2012,Voluntary,Technology,Technology,USD,0.15,Software Engineer,28350,Individual Contributor,96000,0
